Prob Thresh,Max Pos,Stop Loss,Hold Days,Target/Trail,CAGR,Sharpe,Max DD
0.80,10,-5%,20,25%,4.80%,-0.83,-3.88%
0.80,10,-5%,20,30%,4.80%,-0.83,-3.88%
0.80,10,-5%,30,15%,4.79%,-0.86,-3.41%
0.60,4,-5%,60,30%,4.79%,0.10,-55.40%
0.75,5,-5%,45,20%,4.79%,-0.12,-15.73%
0.70,5,-12%,40,12%,4.79%,0.00,-26.06%
0.60,6,-6%,50,25%,4.79%,0.08,-54.30%
0.70,8,-10%,15,15%,4.79%,-0.05,-15.37%
0.65,4,-5%,50,30%,4.79%,0.08,-33.96%
0.80,10,-5%,60,12%,4.78%,-0.88,-2.71%
0.80,10,-5%,45,12%,4.78%,-0.88,-2.71%
0.80,10,-5%,50,12%,4.78%,-0.88,-2.71%
0.80,10,-5%,40,12%,4.78%,-0.88,-2.71%
0.80,10,-5%,20,15%,4.78%,-0.88,-3.23%
0.80,5,-5%,15,35%,4.77%,-0.41,-7.00%
0.65,3,-6%,20,30%,4.77%,0.09,-41.98%
0.85,2,-8%,20,20%,4.77%,-0.64,-6.66%
0.85,2,-8%,30,12%,4.77%,-0.64,-6.66%
0.85,2,-8%,50,15%,4.77%,-0.64,-6.66%
0.85,2,-8%,40,25%,4.77%,-0.64,-6.66%
0.85,2,-8%,45,35%,4.77%,-0.64,-6.66%
0.85,2,-8%,45,20%,4.77%,-0.64,-6.66%
0.85,2,-8%,45,25%,4.77%,-0.64,-6.66%
0.85,2,-8%,50,25%,4.77%,-0.64,-6.66%
0.85,2,-8%,40,30%,4.77%,-0.64,-6.66%
0.85,2,-8%,40,35%,4.77%,-0.64,-6.66%
0.85,2,-8%,45,12%,4.77%,-0.64,-6.66%
0.85,2,-8%,40,15%,4.77%,-0.64,-6.66%
0.85,2,-8%,45,30%,4.77%,-0.64,-6.66%
0.85,2,-8%,45,15%,4.77%,-0.64,-6.66%
0.85,2,-8%,20,25%,4.77%,-0.64,-6.66%
0.85,2,-8%,20,35%,4.77%,-0.64,-6.66%
0.85,2,-8%,20,30%,4.77%,-0.64,-6.66%
0.85,2,-8%,60,30%,4.77%,-0.64,-6.66%
0.85,2,-8%,60,15%,4.77%,-0.64,-6.66%
0.85,2,-8%,50,35%,4.77%,-0.64,-6.66%
0.85,2,-8%,50,30%,4.77%,-0.64,-6.66%
0.85,2,-8%,30,20%,4.77%,-0.64,-6.66%
0.85,2,-8%,30,25%,4.77%,-0.64,-6.66%
0.85,2,-8%,40,12%,4.77%,-0.64,-6.66%
0.85,2,-8%,60,12%,4.77%,-0.64,-6.66%
0.85,2,-8%,20,15%,4.77%,-0.64,-6.66%
0.85,2,-8%,50,20%,4.77%,-0.64,-6.66%
0.85,2,-8%,20,12%,4.77%,-0.64,-6.66%
0.85,2,-8%,60,20%,4.77%,-0.64,-6.66%
0.85,2,-8%,50,12%,4.77%,-0.64,-6.66%
0.85,2,-8%,30,30%,4.77%,-0.64,-6.66%
0.85,2,-8%,60,35%,4.77%,-0.64,-6.66%
0.85,2,-8%,30,35%,4.77%,-0.64,-6.66%
0.85,2,-8%,60,25%,4.77%,-0.64,-6.66%
0.85,2,-8%,30,15%,4.77%,-0.64,-6.66%
0.85,2,-8%,40,20%,4.77%,-0.64,-6.66%
0.60,2,-15%,40,15%,4.77%,0.13,-45.04%
0.80,3,-12%,20,25%,4.77%,-0.20,-9.99%
0.80,3,-12%,20,30%,4.77%,-0.20,-9.99%
0.80,3,-12%,20,20%,4.77%,-0.20,-9.99%
0.85,2,-15%,20,20%,4.77%,-0.55,-7.99%
0.85,2,-15%,20,25%,4.77%,-0.55,-7.99%
0.85,2,-15%,20,35%,4.77%,-0.55,-7.99%
0.85,2,-15%,20,30%,4.77%,-0.55,-7.99%
0.85,2,-15%,20,12%,4.77%,-0.55,-7.99%
0.85,2,-15%,20,15%,4.77%,-0.55,-7.99%
0.70,5,-6%,60,15%,4.77%,-0.01,-23.79%
0.80,2,-12%,60,20%,4.76%,-0.08,-23.20%
0.70,4,-6%,50,20%,4.76%,0.01,-32.72%
0.80,3,-6%,30,12%,4.76%,-0.26,-10.10%
0.70,6,-10%,15,20%,4.75%,-0.03,-15.68%
0.65,8,-15%,20,15%,4.75%,0.04,-39.45%
0.75,5,-5%,15,12%,4.75%,-0.17,-12.66%
0.80,8,-5%,30,35%,4.74%,-0.59,-7.33%
0.75,3,-12%,15,12%,4.74%,-0.06,-17.90%
0.70,10,-8%,30,12%,4.74%,-0.09,-11.32%
0.80,3,-15%,45,15%,4.74%,-0.15,-19.37%
0.60,2,-12%,30,25%,4.73%,0.14,-52.86%
0.80,3,-12%,20,15%,4.73%,-0.22,-9.34%
0.85,3,-6%,40,25%,4.73%,-0.50,-7.91%
0.85,3,-6%,50,30%,4.73%,-0.50,-7.91%
0.85,3,-6%,50,25%,4.73%,-0.50,-7.91%
0.85,3,-6%,60,30%,4.73%,-0.50,-7.91%
0.85,3,-6%,60,25%,4.73%,-0.50,-7.91%
0.85,3,-6%,40,12%,4.73%,-0.50,-7.91%
0.85,3,-6%,45,20%,4.73%,-0.50,-7.91%
0.85,3,-6%,45,12%,4.73%,-0.50,-7.91%
0.85,3,-6%,45,15%,4.73%,-0.50,-7.91%
0.85,3,-6%,50,15%,4.73%,-0.50,-7.91%
0.85,3,-6%,45,30%,4.73%,-0.50,-7.91%
0.85,3,-6%,50,20%,4.73%,-0.50,-7.91%
0.85,3,-6%,45,35%,4.73%,-0.50,-7.91%
0.85,3,-6%,50,12%,4.73%,-0.50,-7.91%
0.85,3,-6%,60,15%,4.73%,-0.50,-7.91%
0.85,3,-6%,50,35%,4.73%,-0.50,-7.91%
0.85,3,-6%,60,35%,4.73%,-0.50,-7.91%
0.85,3,-6%,40,15%,4.73%,-0.50,-7.91%
0.85,3,-6%,60,12%,4.73%,-0.50,-7.91%
0.85,3,-6%,40,20%,4.73%,-0.50,-7.91%
0.85,3,-6%,45,25%,4.73%,-0.50,-7.91%
0.85,3,-6%,40,30%,4.73%,-0.50,-7.91%
0.85,3,-6%,40,35%,4.73%,-0.50,-7.91%
0.85,3,-6%,60,20%,4.73%,-0.50,-7.91%
0.70,8,-6%,50,12%,4.73%,-0.07,-18.39%
0.80,10,-5%,45,20%,4.72%,-0.83,-5.31%
0.65,4,-15%,50,12%,4.72%,0.08,-49.45%
0.80,2,-8%,50,20%,4.72%,-0.13,-17.77%
0.80,2,-8%,50,25%,4.72%,-0.13,-17.77%
0.80,2,-8%,50,30%,4.72%,-0.13,-17.77%
0.65,8,-6%,60,20%,4.72%,0.04,-33.07%
0.80,3,-8%,40,15%,4.72%,-0.20,-12.17%
0.65,3,-8%,60,25%,4.71%,0.09,-46.54%
0.80,2,-12%,20,12%,4.71%,-0.14,-14.11%
0.80,10,-5%,40,20%,4.71%,-0.84,-5.31%
0.70,4,-10%,45,20%,4.71%,0.02,-30.51%
0.85,2,-5%,40,25%,4.71%,-0.52,-5.74%
0.85,2,-5%,60,20%,4.71%,-0.52,-5.74%
0.85,2,-5%,40,12%,4.71%,-0.52,-5.74%
0.85,2,-5%,40,30%,4.71%,-0.52,-5.74%
0.85,2,-5%,50,15%,4.71%,-0.52,-5.74%
0.85,2,-5%,45,20%,4.71%,-0.52,-5.74%
0.85,2,-5%,60,30%,4.71%,-0.52,-5.74%
0.85,2,-5%,50,25%,4.71%,-0.52,-5.74%
0.85,2,-5%,60,12%,4.71%,-0.52,-5.74%
0.85,2,-5%,50,35%,4.71%,-0.52,-5.74%
0.85,2,-5%,45,35%,4.71%,-0.52,-5.74%
0.85,2,-5%,60,15%,4.71%,-0.52,-5.74%
0.85,2,-5%,60,25%,4.71%,-0.52,-5.74%
0.85,2,-5%,45,12%,4.71%,-0.52,-5.74%
0.85,2,-5%,45,25%,4.71%,-0.52,-5.74%
0.85,2,-5%,50,12%,4.71%,-0.52,-5.74%
0.85,2,-5%,40,35%,4.71%,-0.52,-5.74%
0.85,2,-5%,50,20%,4.71%,-0.52,-5.74%
0.85,2,-5%,45,15%,4.71%,-0.52,-5.74%
0.85,2,-5%,40,15%,4.71%,-0.52,-5.74%
0.85,2,-5%,40,20%,4.71%,-0.52,-5.74%
0.85,2,-5%,45,30%,4.71%,-0.52,-5.74%
0.85,2,-5%,50,30%,4.71%,-0.52,-5.74%
0.85,2,-5%,60,35%,4.71%,-0.52,-5.74%
0.65,8,-6%,30,15%,4.71%,0.03,-36.87%
0.70,8,-10%,30,12%,4.71%,-0.06,-14.89%
0.80,3,-6%,15,15%,4.71%,-0.29,-10.13%
0.85,2,-12%,30,15%,4.71%,-0.55,-8.59%
0.85,2,-12%,30,25%,4.71%,-0.55,-8.59%
0.85,2,-12%,30,30%,4.71%,-0.55,-8.59%
0.85,2,-12%,30,12%,4.71%,-0.55,-8.59%
0.85,2,-12%,30,35%,4.71%,-0.55,-8.59%
0.85,2,-12%,30,20%,4.71%,-0.55,-8.59%
0.80,3,-12%,45,15%,4.70%,-0.15,-18.48%
0.75,4,-6%,15,12%,4.70%,-0.13,-15.59%
0.65,6,-8%,50,20%,4.70%,0.06,-39.76%
0.80,3,-6%,50,20%,4.70%,-0.24,-14.07%
0.80,10,-5%,30,20%,4.70%,-0.86,-5.19%
0.80,10,-5%,30,30%,4.70%,-0.86,-5.19%
0.80,10,-5%,30,25%,4.70%,-0.86,-5.19%
0.80,6,-5%,45,35%,4.70%,-0.42,-11.02%
0.80,4,-6%,45,12%,4.70%,-0.30,-7.94%
0.80,4,-6%,60,12%,4.70%,-0.30,-7.94%
0.80,4,-6%,40,12%,4.70%,-0.30,-7.94%
0.80,4,-6%,50,12%,4.70%,-0.30,-7.94%
0.80,4,-6%,45,20%,4.70%,-0.26,-15.87%
0.70,8,-8%,15,15%,4.70%,-0.07,-13.56%
0.80,2,-8%,40,30%,4.70%,-0.14,-19.26%
0.80,2,-8%,40,20%,4.70%,-0.14,-19.26%
0.80,2,-8%,40,25%,4.70%,-0.14,-19.26%
0.60,5,-8%,60,30%,4.70%,0.09,-38.30%
0.80,10,-5%,50,15%,4.69%,-0.93,-3.41%
0.80,10,-5%,40,15%,4.69%,-0.93,-3.41%
0.80,10,-5%,60,15%,4.69%,-0.93,-3.41%
0.80,10,-5%,45,15%,4.69%,-0.93,-3.41%
0.85,2,-12%,20,12%,4.69%,-0.56,-8.59%
0.85,2,-12%,20,30%,4.69%,-0.56,-8.59%
0.85,2,-12%,20,15%,4.69%,-0.56,-8.59%
0.85,2,-12%,20,25%,4.69%,-0.56,-8.59%
0.85,2,-12%,20,35%,4.69%,-0.56,-8.59%
0.85,2,-12%,20,20%,4.69%,-0.56,-8.59%
0.65,2,-12%,45,30%,4.68%,0.10,-54.33%
0.65,10,-5%,50,20%,4.68%,0.02,-39.03%
0.80,10,-5%,50,20%,4.67%,-0.86,-5.31%
0.65,4,-12%,20,20%,4.67%,0.07,-44.21%
0.80,4,-6%,40,20%,4.67%,-0.27,-15.87%
0.80,8,-5%,45,30%,4.67%,-0.66,-7.48%
0.80,8,-5%,45,25%,4.67%,-0.66,-7.48%
0.70,4,-10%,50,20%,4.67%,0.02,-28.97%
0.70,8,-6%,60,12%,4.66%,-0.07,-19.20%
0.70,10,-15%,20,12%,4.66%,-0.09,-12.91%
0.65,4,-8%,20,20%,4.66%,0.07,-37.99%
0.70,4,-15%,40,20%,4.66%,0.04,-38.26%
0.65,3,-8%,60,30%,4.66%,0.09,-43.58%
0.80,3,-6%,15,12%,4.66%,-0.31,-10.49%
0.80,3,-6%,30,15%,4.65%,-0.28,-9.30%
0.85,2,-10%,40,15%,4.65%,-0.53,-7.62%
0.85,2,-10%,40,25%,4.65%,-0.53,-7.62%
0.85,2,-10%,40,30%,4.65%,-0.53,-7.62%
0.85,2,-10%,40,35%,4.65%,-0.53,-7.62%
0.85,2,-10%,40,20%,4.65%,-0.53,-7.62%
0.85,2,-10%,40,12%,4.65%,-0.53,-7.62%
0.60,2,-5%,45,30%,4.65%,0.10,-48.75%
0.70,6,-15%,60,12%,4.64%,-0.01,-20.62%
0.70,5,-8%,20,15%,4.64%,-0.02,-17.29%
0.60,4,-10%,50,15%,4.64%,0.09,-61.69%
0.80,8,-5%,30,12%,4.64%,-0.79,-4.26%
0.70,8,-10%,40,12%,4.64%,-0.06,-16.49%
0.70,4,-5%,20,15%,4.64%,-0.01,-25.21%
0.85,3,-5%,45,15%,4.64%,-0.73,-6.09%
0.85,3,-5%,45,20%,4.64%,-0.73,-6.09%
0.85,3,-5%,60,30%,4.64%,-0.73,-6.09%
0.85,3,-5%,60,12%,4.64%,-0.73,-6.09%
0.85,3,-5%,40,35%,4.64%,-0.73,-6.09%
0.85,3,-5%,50,20%,4.64%,-0.73,-6.09%
0.85,3,-5%,50,25%,4.64%,-0.73,-6.09%
0.85,3,-5%,50,35%,4.64%,-0.73,-6.09%
0.85,3,-5%,50,15%,4.64%,-0.73,-6.09%
0.85,3,-5%,45,25%,4.64%,-0.73,-6.09%
0.85,3,-5%,40,15%,4.64%,-0.73,-6.09%
0.85,3,-5%,50,12%,4.64%,-0.73,-6.09%
0.85,3,-5%,60,35%,4.64%,-0.73,-6.09%
0.85,3,-5%,60,25%,4.64%,-0.73,-6.09%
0.85,3,-5%,45,12%,4.64%,-0.73,-6.09%
0.85,3,-5%,60,20%,4.64%,-0.73,-6.09%
0.85,3,-5%,45,35%,4.64%,-0.73,-6.09%
0.85,3,-5%,40,20%,4.64%,-0.73,-6.09%
0.85,3,-5%,40,12%,4.64%,-0.73,-6.09%
0.85,3,-5%,40,30%,4.64%,-0.73,-6.09%
0.85,3,-5%,50,30%,4.64%,-0.73,-6.09%
0.85,3,-5%,40,25%,4.64%,-0.73,-6.09%
0.85,3,-5%,45,30%,4.64%,-0.73,-6.09%
0.85,3,-5%,60,15%,4.64%,-0.73,-6.09%
0.75,6,-5%,50,20%,4.63%,-0.17,-15.74%
0.65,8,-15%,45,12%,4.63%,0.04,-42.56%
0.65,2,-5%,50,12%,4.62%,0.08,-56.27%
0.80,10,-5%,60,20%,4.62%,-0.89,-5.31%
0.80,6,-5%,50,35%,4.62%,-0.45,-11.02%
0.65,4,-15%,40,25%,4.62%,0.09,-42.00%
0.80,2,-8%,20,30%,4.62%,-0.19,-17.02%
0.80,2,-8%,20,20%,4.62%,-0.19,-17.02%
0.80,2,-8%,20,25%,4.62%,-0.19,-17.02%
0.70,8,-5%,20,12%,4.62%,-0.09,-14.98%
0.60,5,-10%,50,20%,4.61%,0.08,-50.29%
0.80,8,-5%,50,25%,4.61%,-0.68,-7.48%
0.80,8,-5%,50,30%,4.61%,-0.68,-7.48%
0.60,10,-6%,60,25%,4.60%,0.06,-46.07%
0.60,10,-5%,50,25%,4.60%,0.06,-44.64%
0.60,2,-6%,45,25%,4.60%,0.10,-60.08%
0.80,8,-5%,20,12%,4.59%,-0.82,-4.26%
0.65,8,-12%,40,15%,4.59%,0.04,-45.75%
0.80,3,-6%,15,20%,4.59%,-0.32,-10.32%
0.80,3,-6%,15,30%,4.59%,-0.32,-10.32%
0.80,3,-6%,15,25%,4.59%,-0.32,-10.32%
0.80,6,-5%,40,35%,4.59%,-0.47,-11.02%
0.80,8,-5%,40,25%,4.58%,-0.72,-7.48%
0.80,8,-5%,40,30%,4.58%,-0.72,-7.48%
0.85,2,-6%,60,25%,4.58%,-0.56,-6.22%
0.85,2,-6%,40,25%,4.58%,-0.56,-6.22%
0.85,2,-6%,50,30%,4.58%,-0.56,-6.22%
0.85,2,-6%,50,25%,4.58%,-0.56,-6.22%
0.85,2,-6%,45,35%,4.58%,-0.56,-6.22%
0.85,2,-6%,50,15%,4.58%,-0.56,-6.22%
0.85,2,-6%,50,20%,4.58%,-0.56,-6.22%
0.85,2,-6%,60,30%,4.58%,-0.56,-6.22%
0.85,2,-6%,60,35%,4.58%,-0.56,-6.22%
0.85,2,-6%,40,12%,4.58%,-0.56,-6.22%
0.85,2,-6%,45,20%,4.58%,-0.56,-6.22%
0.85,2,-6%,40,15%,4.58%,-0.56,-6.22%
0.85,2,-6%,40,20%,4.58%,-0.56,-6.22%
0.85,2,-6%,45,25%,4.58%,-0.56,-6.22%
0.85,2,-6%,45,30%,4.58%,-0.56,-6.22%
0.85,2,-6%,45,15%,4.58%,-0.56,-6.22%
0.85,2,-6%,60,15%,4.58%,-0.56,-6.22%
0.85,2,-6%,50,12%,4.58%,-0.56,-6.22%
0.85,2,-6%,60,20%,4.58%,-0.56,-6.22%
0.85,2,-6%,50,35%,4.58%,-0.56,-6.22%
0.85,2,-6%,40,35%,4.58%,-0.56,-6.22%
0.85,2,-6%,40,30%,4.58%,-0.56,-6.22%
0.85,2,-6%,60,12%,4.58%,-0.56,-6.22%
0.85,2,-6%,45,12%,4.58%,-0.56,-6.22%
0.80,6,-5%,15,12%,4.58%,-0.68,-4.92%
0.80,6,-5%,15,15%,4.58%,-0.68,-4.92%
0.80,4,-6%,50,20%,4.57%,-0.29,-15.87%
0.60,5,-10%,15,20%,4.57%,0.09,-55.52%
0.70,4,-8%,60,20%,4.57%,0.01,-23.52%
0.70,5,-10%,30,15%,4.57%,-0.01,-19.67%
0.60,8,-8%,60,20%,4.56%,0.07,-40.87%
0.75,6,-5%,45,20%,4.56%,-0.18,-15.54%
0.65,6,-15%,60,15%,4.56%,0.06,-41.25%
0.70,3,-8%,20,20%,4.56%,0.01,-23.88%
0.70,2,-8%,60,15%,4.56%,0.05,-36.86%
0.60,5,-8%,15,25%,4.56%,0.08,-56.33%
0.65,2,-6%,40,15%,4.55%,0.09,-53.64%
0.70,6,-15%,50,12%,4.54%,-0.02,-20.53%
0.75,3,-6%,15,12%,4.54%,-0.11,-19.49%
0.80,3,-12%,60,20%,4.54%,-0.15,-21.69%
0.75,5,-6%,15,12%,4.54%,-0.20,-12.79%
0.80,8,-5%,60,30%,4.54%,-0.72,-7.48%
0.80,8,-5%,60,25%,4.54%,-0.72,-7.48%
0.75,4,-10%,15,12%,4.53%,-0.12,-17.57%
0.65,5,-10%,15,20%,4.53%,0.06,-35.25%
0.70,8,-6%,20,12%,4.53%,-0.09,-15.34%
0.80,8,-5%,20,30%,4.53%,-0.81,-5.72%
0.80,8,-5%,20,20%,4.53%,-0.81,-5.72%
0.80,8,-5%,20,25%,4.53%,-0.81,-5.72%
0.80,6,-5%,60,35%,4.53%,-0.48,-11.02%
0.80,8,-5%,30,15%,4.53%,-0.83,-5.14%
0.65,3,-8%,50,20%,4.53%,0.07,-42.34%
0.65,8,-6%,40,20%,4.52%,0.03,-37.00%
0.70,3,-5%,30,35%,4.52%,0.02,-35.39%
0.80,6,-5%,15,25%,4.52%,-0.70,-5.31%
0.80,6,-5%,15,30%,4.52%,-0.70,-5.31%
0.80,6,-5%,15,20%,4.52%,-0.70,-5.31%
0.85,2,-12%,40,30%,4.52%,-0.56,-8.59%
0.85,2,-12%,40,15%,4.52%,-0.56,-8.59%
0.85,2,-12%,40,20%,4.52%,-0.56,-8.59%
0.85,2,-12%,40,25%,4.52%,-0.56,-8.59%
0.85,2,-12%,40,12%,4.52%,-0.56,-8.59%
0.85,2,-12%,40,35%,4.52%,-0.56,-8.59%
0.80,6,-5%,20,35%,4.52%,-0.53,-8.74%
0.80,3,-8%,50,15%,4.52%,-0.23,-12.17%
0.80,3,-8%,45,15%,4.52%,-0.23,-12.17%
0.80,3,-8%,60,15%,4.52%,-0.23,-12.17%
0.70,4,-5%,40,15%,4.51%,-0.01,-28.81%
0.70,10,-8%,20,12%,4.51%,-0.12,-10.43%
0.70,8,-5%,15,12%,4.51%,-0.11,-14.76%
0.80,8,-5%,40,12%,4.51%,-0.85,-4.26%
0.80,8,-5%,60,12%,4.51%,-0.85,-4.26%
0.80,8,-5%,45,12%,4.51%,-0.85,-4.26%
0.80,8,-5%,50,12%,4.51%,-0.85,-4.26%
0.65,10,-15%,15,12%,4.51%,-0.01,-28.03%
0.80,8,-5%,20,15%,4.51%,-0.85,-4.91%
0.70,2,-8%,45,30%,4.50%,0.07,-35.45%
0.65,5,-6%,30,25%,4.50%,0.05,-30.47%
0.60,4,-5%,60,20%,4.49%,0.07,-53.58%
0.80,2,-15%,50,12%,4.49%,-0.12,-17.67%
0.80,2,-15%,60,12%,4.49%,-0.12,-17.67%
0.80,2,-15%,45,12%,4.49%,-0.12,-17.67%
0.80,2,-15%,40,12%,4.49%,-0.12,-17.67%
0.80,3,-12%,60,15%,4.49%,-0.18,-19.91%
0.80,3,-12%,50,15%,4.49%,-0.18,-19.91%
0.65,6,-10%,60,20%,4.48%,0.06,-38.77%
0.65,3,-10%,30,20%,4.48%,0.08,-38.37%
0.70,3,-6%,60,35%,4.48%,0.02,-33.99%
0.80,3,-6%,60,20%,4.47%,-0.28,-14.07%
0.80,5,-5%,45,35%,4.47%,-0.42,-13.73%
0.85,2,-10%,45,35%,4.47%,-0.59,-7.62%
0.85,2,-10%,45,20%,4.47%,-0.59,-7.62%
0.85,2,-10%,50,30%,4.47%,-0.59,-7.62%
0.85,2,-10%,50,35%,4.47%,-0.59,-7.62%
0.85,2,-10%,45,30%,4.47%,-0.59,-7.62%
0.85,2,-10%,50,12%,4.47%,-0.59,-7.62%
0.85,2,-10%,50,15%,4.47%,-0.59,-7.62%
0.85,2,-10%,50,25%,4.47%,-0.59,-7.62%
0.85,2,-10%,50,20%,4.47%,-0.59,-7.62%
0.85,2,-10%,45,15%,4.47%,-0.59,-7.62%
0.85,2,-10%,60,30%,4.47%,-0.59,-7.62%
0.85,2,-10%,60,20%,4.47%,-0.59,-7.62%
0.85,2,-10%,45,12%,4.47%,-0.59,-7.62%
0.85,2,-10%,45,25%,4.47%,-0.59,-7.62%
0.85,2,-10%,60,25%,4.47%,-0.59,-7.62%
0.85,2,-10%,60,12%,4.47%,-0.59,-7.62%
0.85,2,-10%,60,15%,4.47%,-0.59,-7.62%
0.85,2,-10%,60,35%,4.47%,-0.59,-7.62%
0.65,3,-8%,20,25%,4.47%,0.08,-48.41%
0.70,5,-6%,40,15%,4.46%,-0.03,-26.46%
0.70,10,-10%,50,12%,4.46%,-0.11,-14.43%
0.65,4,-15%,30,15%,4.45%,0.07,-48.59%
0.70,5,-15%,30,12%,4.45%,-0.01,-23.77%
0.65,10,-5%,40,20%,4.45%,0.00,-39.26%
0.80,2,-5%,20,35%,4.45%,-0.21,-13.46%
0.60,4,-5%,15,20%,4.44%,0.08,-53.03%
0.75,2,-5%,15,12%,4.44%,-0.07,-21.45%
0.80,8,-5%,45,20%,4.44%,-0.80,-7.48%
0.80,4,-5%,45,35%,4.43%,-0.35,-15.30%
0.65,5,-5%,30,25%,4.43%,0.05,-34.88%
0.80,8,-5%,40,20%,4.43%,-0.82,-7.48%
0.70,2,-8%,50,15%,4.42%,0.04,-33.48%
0.70,4,-5%,50,15%,4.42%,-0.02,-28.81%
0.60,2,-15%,45,15%,4.41%,0.11,-60.47%
0.80,8,-5%,30,25%,4.41%,-0.84,-7.33%
0.80,8,-5%,30,30%,4.41%,-0.84,-7.33%
0.80,8,-5%,30,20%,4.41%,-0.84,-7.33%
0.60,3,-5%,30,25%,4.41%,0.08,-48.61%
0.80,4,-6%,60,20%,4.40%,-0.33,-15.87%
0.65,8,-15%,40,12%,4.40%,0.03,-41.63%
0.70,3,-10%,60,25%,4.40%,0.03,-35.08%
0.60,4,-8%,40,20%,4.40%,0.07,-51.26%
0.60,10,-12%,50,20%,4.40%,0.06,-45.98%
0.80,8,-5%,45,15%,4.40%,-0.90,-5.14%
0.80,8,-5%,60,15%,4.40%,-0.90,-5.14%
0.80,8,-5%,40,15%,4.40%,-0.90,-5.14%
0.80,8,-5%,50,15%,4.40%,-0.90,-5.14%
0.80,3,-6%,60,12%,4.40%,-0.34,-10.10%
0.80,3,-6%,50,12%,4.40%,-0.34,-10.10%
0.80,3,-6%,40,12%,4.40%,-0.34,-10.10%
0.80,3,-6%,45,12%,4.40%,-0.34,-10.10%
0.60,5,-5%,30,30%,4.39%,0.08,-45.49%
0.60,8,-5%,60,25%,4.39%,0.06,-52.33%
0.80,2,-12%,20,15%,4.39%,-0.18,-15.25%
0.70,10,-6%,15,12%,4.39%,-0.15,-16.40%
0.70,3,-6%,50,35%,4.38%,0.02,-34.01%
0.65,2,-8%,30,20%,4.38%,0.09,-46.38%
0.80,8,-5%,50,20%,4.38%,-0.83,-7.48%
0.65,5,-5%,45,30%,4.37%,0.05,-33.08%
0.80,5,-5%,50,35%,4.37%,-0.45,-13.73%
0.80,4,-6%,20,25%,4.37%,-0.43,-9.20%
0.80,4,-6%,20,30%,4.37%,-0.43,-9.20%
0.80,4,-6%,20,20%,4.37%,-0.43,-9.20%
0.60,2,-15%,15,30%,4.36%,0.14,-66.14%
0.80,2,-8%,20,12%,4.36%,-0.24,-15.90%
0.65,8,-10%,45,15%,4.36%,0.02,-44.21%
0.80,2,-15%,50,20%,4.36%,-0.12,-24.70%
0.80,6,-5%,30,35%,4.36%,-0.57,-10.82%
0.70,2,-10%,45,30%,4.36%,0.06,-42.39%
0.60,4,-6%,30,25%,4.36%,0.07,-39.33%
0.60,6,-5%,50,25%,4.35%,0.07,-56.13%
0.80,3,-5%,45,35%,4.35%,-0.27,-17.86%
0.70,3,-6%,30,25%,4.35%,0.02,-33.66%
0.70,2,-12%,40,30%,4.35%,0.06,-35.36%
0.65,8,-12%,20,15%,4.35%,0.02,-43.12%
0.70,8,-5%,30,12%,4.35%,-0.11,-17.85%
0.70,10,-12%,20,12%,4.34%,-0.13,-13.72%
0.70,4,-6%,15,20%,4.34%,-0.03,-19.56%
0.60,8,-6%,20,25%,4.34%,0.06,-49.01%
0.80,4,-6%,20,15%,4.34%,-0.45,-7.52%
0.70,6,-10%,40,12%,4.34%,-0.05,-20.51%
0.65,3,-6%,40,35%,4.33%,0.06,-36.96%
0.60,3,-12%,15,20%,4.33%,0.10,-55.42%
0.80,5,-5%,40,35%,4.33%,-0.48,-13.73%
0.60,3,-12%,60,35%,4.33%,0.08,-60.60%
0.70,2,-15%,20,25%,4.33%,0.07,-38.32%
0.60,3,-5%,15,30%,4.32%,0.08,-54.00%
0.80,4,-6%,50,15%,4.32%,-0.38,-11.95%
0.80,4,-6%,60,15%,4.32%,-0.38,-11.95%
0.80,4,-6%,45,15%,4.32%,-0.38,-11.95%
0.80,4,-6%,40,15%,4.32%,-0.38,-11.95%
0.80,5,-5%,15,12%,4.32%,-0.68,-6.54%
0.80,5,-5%,15,15%,4.32%,-0.68,-6.54%
0.60,2,-12%,45,25%,4.31%,0.13,-57.36%
0.75,2,-6%,20,12%,4.31%,-0.08,-18.39%
0.80,8,-5%,60,20%,4.31%,-0.87,-7.48%
0.80,4,-5%,50,35%,4.31%,-0.38,-15.30%
0.80,3,-15%,60,20%,4.31%,-0.19,-24.29%
0.70,2,-10%,30,30%,4.30%,0.06,-42.49%
0.65,2,-10%,30,25%,4.30%,0.10,-55.50%
0.80,4,-6%,20,12%,4.30%,-0.47,-7.88%
0.65,6,-5%,40,25%,4.30%,0.04,-39.28%
0.70,5,-12%,30,12%,4.30%,-0.04,-18.71%
0.70,5,-10%,45,15%,4.29%,-0.03,-25.93%
0.70,2,-12%,30,35%,4.27%,0.07,-43.67%
0.70,5,-10%,40,15%,4.27%,-0.03,-26.55%
0.80,6,-5%,45,30%,4.27%,-0.63,-11.02%
0.80,6,-5%,45,25%,4.27%,-0.63,-11.02%
0.80,4,-5%,15,15%,4.26%,-0.58,-7.16%
0.80,4,-5%,15,12%,4.26%,-0.58,-7.16%
0.70,5,-10%,50,15%,4.26%,-0.03,-24.46%
0.80,4,-5%,40,35%,4.26%,-0.40,-15.30%
0.60,6,-15%,30,15%,4.26%,0.07,-49.47%
0.60,8,-15%,45,15%,4.26%,0.06,-53.14%
